Test_Category,Planned_Total,Success,Failures,Errors,Skipped,Pass,Time,Log
operator_install,1,1,0,0,0,100.00%,134.603s,operator_install.xml.html
multiple_pod_spec_and_images,8,4,4,0,0,50.00%,139.245s,multiple_pod_spec_and_images.bats.xml.html
encrypted_image,4,0,0,0,4,0%,0s,encrypted_image.bats.xml.html
offline_encrypted_image,4,4,0,0,0,100.00%,64.294s,offline_encrypted_image.bats.xml.html
signed_image,4,4,0,0,0,100.00%,39.929s,signed_image.bats.xml.html
cosigned_image,4,4,0,0,0,100.00%,36.189s,cosigned_image.bats.xml.html
trust_storage,6,2,0,0,4,33.00%,9.415s,trust_storage.bats.xml.html
measured_boot,4,0,0,0,4,0%,0s,measured_boot.bats.xml.html
operator_uninstall,1,1,0,0,0,100.00%,77.839s,operator_uninstall.xml.html
Summary,36,20,4,0,12,55.00%,501.514s,''
